Período,DEPARTAMENTO,SE SINTIERON ALGUNA VEZ DISCRIMINADOS,Numero Faltas
Feb 2016 - Jul 2016,UCAYALI,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,56.756979999999999
Mar 2016 - Ago 2016,AMAZONAS,PARA ELEGIR AUTORIDADES,69.810770000000005
Mar 2016 - Ago 2016,AMAZONAS,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,73.362610000000004
Mar 2016 - Ago 2016,ANCASH,PARA ELEGIR AUTORIDADES,73.083680000000001
Mar 2016 - Ago 2016,ANCASH,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,78.669470000000004
Mar 2016 - Ago 2016,APURÍMAC,PARA ELEGIR AUTORIDADES,41.102510000000002
Mar 2016 - Ago 2016,APURÍMAC,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,56.492919999999998
Mar 2016 - Ago 2016,AREQUIPA,PARA ELEGIR AUTORIDADES,59.393880000000003
Mar 2016 - Ago 2016,AREQUIPA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,57.524769999999997
Mar 2016 - Ago 2016,AYACUCHO,PARA ELEGIR AUTORIDADES,47.582850000000001
Mar 2016 - Ago 2016,AYACUCHO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,61.603070000000002
Mar 2016 - Ago 2016,CAJAMARCA,PARA ELEGIR AUTORIDADES,41.219760000000001
Mar 2016 - Ago 2016,CAJAMARCA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,64.875140000000002
Mar 2016 - Ago 2016,CUSCO,PARA ELEGIR AUTORIDADES,60.366770000000002
Mar 2016 - Ago 2016,CUSCO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,41.980499999999999
Mar 2016 - Ago 2016,HUANCAVELICA,PARA ELEGIR AUTORIDADES,62.815530000000003
Mar 2016 - Ago 2016,HUANCAVELICA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,38.091209999999997
Mar 2016 - Ago 2016,HUÁNUCO,PARA ELEGIR AUTORIDADES,76.200620000000001
Mar 2016 - Ago 2016,HUÁNUCO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,61.157089999999997
Mar 2016 - Ago 2016,ICA,PARA ELEGIR AUTORIDADES,48.089640000000003
