AÑO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,P613HN,P613H,P613H1,P613H2,P613H3,P613H4,P613H5,TICUEST01,D613H4,I613H4,FACTOR07,NCONGLOME,SUB_CONGLOME
2023,07,018509,195,11,150204,2,7,2,1,2,3,1,6, ,2,1870.30895996094,1870.30895996094,99.562370300293,16547,00
2023,07,018509,195,11,150204,2,7,3,2, , , , , ,2, , ,99.562370300293,16547,00
2023,07,018509,196,11,150204,2,7,1,2, , , , , ,2, , ,99.562370300293,16547,00
2023,07,018509,196,11,150204,2,7,2,1,2,4,2,8, ,2,2493.74536132813,2493.74536132813,99.562370300293,16547,00
2023,07,018509,196,11,150204,2,7,3,2, , , , , ,2, , ,99.562370300293,16547,00
2023,07,018509,197,11,150204,2,7,1,1,2,4,3, ,1,2, ,390.799987792969,99.562370300293,16547,00
2023,07,018509,197,11,150204,2,7,2,1,2,4,1,8, ,2,2493.74536132813,2493.74536132813,99.562370300293,16547,00
2023,07,018509,197,11,150204,2,7,3,1,2,4,3, ,1,2, ,631.599975585938,99.562370300293,16547,00
2023,08,018020,102,11,150123,8,1,1,2, , , , , ,2, , ,1115.01550292969,29670,02
2023,08,018020,102,11,150123,8,1,2,1,1,1,3, ,1,2, ,672.900024414063,1115.01550292969,29670,02
2023,08,018020,102,11,150123,8,1,3,2, , , , , ,2, , ,1115.01550292969,29670,02
2023,09,008857,065,11,200605,1,4,1,1,1,2,1,1.60000002384186, ,2,410.040466308594,410.040466308594,359.441345214844,01095,00
2023,09,008857,065,11,200605,1,4,2,1,1,2,1,.800000011920929, ,2,205.020233154297,205.020233154297,359.441345214844,01095,00
2023,09,008857,065,11,200605,1,4,3,2, , , , , ,2, , ,359.441345214844,01095,00
2023,09,015758,077,11,040517,6,6,1,2, , , , , ,2, , ,162.480804443359,42028,00
2023,09,015758,077,11,040517,6,6,2,1,6,2,3, ,1,2, ,441.200012207031,162.480804443359,42028,00
2023,09,015758,077,11,040517,6,6,3,2, , , , , ,2, , ,162.480804443359,42028,00
2023,09,016332,011,11,070106,8,1,1,2, , , , , ,2, , ,266.532348632813,17732,01
2023,09,016332,011,11,070106,8,1,2,1,3,3,1,9, ,2,463.480865478516,463.480865478516,266.532348632813,17732,01
2023,09,016332,011,11,070106,8,1,3,2, , , , , ,2, , ,266.532348632813,17732,01
2023,09,017482,018,11,130401,1,4,1,2, , , , , ,2, , ,433.542388916016,09721,00
2023,09,017482,018,11,130401,1,4,2,1,5,3,2,.5, ,2,76.3893127441406,76.3893127441406,433.542388916016,09721,00
2023,09,017482,018,11,130401,1,4,3,2, , , , , ,2, , ,433.542388916016,09721,00
2023,10,017530,193,11,130401,1,7,1,2, , , , , ,2, , ,243.056182861328,09728,00
2023,10,017530,193,11,130401,1,7,2,1,1,2,1,2, ,2,508.738494873047,508.738494873047,243.056182861328,09728,00
2023,10,017530,193,11,130401,1,7,3,2, , , , , ,2, , ,243.056182861328,09728,00
2023,10,017827,027,11,150132,8,1,1,2, , , , , ,2, , ,1057.32897949219,22180,00
2023,10,017827,027,11,150132,8,1,2,1,1,2,1,4, ,2,1026.89172363281,1026.89172363281,1057.32897949219,22180,00
2023,10,017827,027,11,150132,8,1,3,2, , , , , ,2, , ,1057.32897949219,22180,00
2023,10,017827,043,11,150132,8,1,1,2, , , , , ,2, , ,1057.32897949219,22180,00
2023,10,017827,043,11,150132,8,1,2,1,1,1,1,2.5, ,2,641.807373046875,641.807373046875,1057.32897949219,22180,00
2023,10,017827,043,11,150132,8,1,3,2, , , , , ,2, , ,1057.32897949219,22180,00
2023,11,015634,063,11,040110,6,1,1,2, , , , , ,2, , ,293.743591308594,42794,02
2023,11,015634,063,11,040110,6,1,2,1,4,1,1,5, ,2,512.557250976563,512.557250976563,293.743591308594,42794,02
2023,11,015634,063,11,040110,6,1,3,2, , , , , ,2, , ,293.743591308594,42794,02
2023,11,015634,105,11,040110,6,1,1,2, , , , , ,2, , ,293.743591308594,42794,02
2023,11,015634,105,11,040110,6,1,2,1,3,1,1,5, ,2,256.278625488281,256.278625488281,293.743591308594,42794,02
2023,11,015634,105,11,040110,6,1,3,2, , , , , ,2, , ,293.743591308594,42794,02
2023,11,015634,120,11,040110,6,1,1,2, , , , , ,2, , ,293.743591308594,42794,02
2023,11,015634,120,11,040110,6,1,2,1,6,3,3, ,1,2, ,661.799987792969,293.743591308594,42794,02
2023,11,015634,120,11,040110,6,1,3,2, , , , , ,2, , ,293.743591308594,42794,02
2023,11,018017,019,11,150103,8,1,1,2, , , , , ,2, , ,1753.64013671875,23466,00
